SiteNumber,CountID,CounterType,ChannelDirection,Road,RoadName,Comments,Easting,Northing
90,90c1,Cycle,Channel 1: North West                                ,Shared Use,Crichton Avenue,No longer used,460124,453498
90,90c2,Cycle,Channel 2: South East,Shared Use,Crichton Avenue,No longer used,460124,453498
91,91c1,Cycle,Channel 1: North West                                      ,Shared Use,Crichton Avenue,No longer used,460127,453498
91,91c2,Cycle,Channel 2: South East ,Shared Use,Crichton Avenue,No longer used,460127,453498
92,92c2,Cycle,Channel 2: North West,Cycle Path,Retreat Lane,,461786,450857
92,92c1,Cycle,Channel 1: South East                                      ,Cycle Path,Retreat Lane,,461786,450857
94,94c1,Cycle,Channel 1: Bridge to Maple                                      ,Cycle Path,Millennium Bridge,,460401,450205
94,94c2,Cycle,Channel 2: Maple to Bridge                                                        ,Cycle Path,Millennium Bridge,,460401,450205
94,94c3,Cycle,Channel 3: Bridge to Maple                                                      ,Cycle Path,Millennium Bridge,,460401,450205
94,94c4,Cycle,Channel 4: Maple to Bridge                                 ,Cycle Path,Millennium Bridge,,460401,450205
95,95c1,Cycle,Channel 1: Bridge to St Georges                  ,Cycle Path,Millennium Bridge,,460401,450205
95,95c2,Cycle,Channel 2: St Georges to Bridge                  ,Cycle Path,Millennium Bridge,,460401,450205
95,95c3,Cycle,Channel 3: Bridge to St Georges   ,Cycle Path,Millennium Bridge,,460401,450205
95,95c4,Cycle,Channel 4: St Georges to Bridge                         ,Cycle Path,Millennium Bridge,,460401,450205
96,96c3,Cycle,Channel 3: East,On Road,Leeman Road,,458807,452135
96,96c4,Cycle,Channel 4: West,On Road,Leeman Road,,458807,452135
99,99c3,Cycle,Channel 3: North,On Road,Eboracum Way,,461019,452468
99,99c4,Cycle,Channel 4: South,On Road,Eboracum Way,,461019,452468
